"Time","cartello","negro","miniera","mistero"
"2013-09-01",24,29,12,69
"2013-10-01",22,29,11,64
"2013-11-01",24,34,12,60
"2013-12-01",19,33,12,54
"2014-01-01",21,33,12,95
"2014-02-01",23,31,13,100
"2014-03-01",24,32,12,90
"2014-04-01",24,33,13,71
"2014-05-01",26,35,20,47
"2014-06-01",26,38,12,48
"2014-07-01",28,34,14,42
"2014-08-01",31,40,20,51
"2014-09-01",27,35,12,66
"2014-10-01",26,32,13,42
"2014-11-01",25,36,13,47
"2014-12-01",21,36,14,54
"2015-01-01",23,35,12,43
"2015-02-01",25,33,12,47
"2015-03-01",25,33,14,42
"2015-04-01",27,37,14,40
"2015-05-01",27,36,15,40
"2015-06-01",28,37,14,38
"2015-07-01",29,38,16,42
"2015-08-01",29,43,22,43
"2015-09-01",29,36,12,38
"2015-10-01",27,32,12,37
"2015-11-01",28,36,13,49
"2015-12-01",26,40,13,83
"2016-01-01",28,38,13,57
"2016-02-01",28,38,12,37
"2016-03-01",31,38,14,38
"2016-04-01",29,37,14,36
"2016-05-01",30,37,14,36
"2016-06-01",30,37,15,37
"2016-07-01",30,39,16,43
"2016-08-01",30,49,21,46
"2016-09-01",34,39,12,36
"2016-10-01",38,40,14,38
"2016-11-01",33,38,14,33
"2016-12-01",26,45,16,43
"2017-01-01",27,46,14,42
"2017-02-01",30,40,14,36
"2017-03-01",29,40,13,32
"2017-04-01",28,40,16,36
"2017-05-01",32,36,15,31
"2017-06-01",31,42,15,35
"2017-07-01",33,43,18,32
"2017-08-01",37,39,25,32
"2017-09-01",49,40,15,28
"2017-10-01",31,47,19,32
"2017-11-01",31,54,16,55
"2017-12-01",27,50,14,35
"2018-01-01",30,42,16,42
"2018-02-01",29,42,14,40
"2018-03-01",28,52,14,35
"2018-04-01",29,48,16,38
"2018-05-01",30,41,14,33
"2018-06-01",32,44,16,33
"2018-07-01",32,44,17,28
"2018-08-01",36,43,24,36
"2018-09-01",34,40,14,30
"2018-10-01",32,38,13,42
"2018-11-01",30,40,14,91
"2018-12-01",28,44,19,39
"2019-01-01",31,38,16,43
"2019-02-01",67,36,15,41
"2019-03-01",36,36,14,46
"2019-04-01",38,36,16,31
"2019-05-01",36,37,14,30
"2019-06-01",31,37,15,26
"2019-07-01",36,37,19,32
"2019-08-01",35,39,25,39
"2019-09-01",31,36,15,30
"2019-10-01",31,36,15,28
"2019-11-01",30,39,17,27
"2019-12-01",27,37,14,43
"2020-01-01",31,36,13,38
"2020-02-01",34,33,12,51
"2020-03-01",46,30,10,61
"2020-04-01",34,34,11,66
"2020-05-01",62,31,12,54
"2020-06-01",44,37,13,39
"2020-07-01",40,37,18,35
"2020-08-01",39,36,25,46
"2020-09-01",42,49,14,33
"2020-10-01",49,31,11,28
"2020-11-01",34,30,10,32
"2020-12-01",29,36,10,38
"2021-01-01",34,33,12,39
"2021-02-01",35,36,17,29
"2021-03-01",38,27,10,32
"2021-04-01",35,31,10,31
"2021-05-01",37,30,13,33
"2021-06-01",38,30,14,32
"2021-07-01",36,32,17,30
"2021-08-01",40,35,23,71
"2021-09-01",42,31,14,36
"2021-10-01",36,31,13,29
"2021-11-01",39,33,12,29
"2021-12-01",36,35,11,68
"2022-01-01",42,31,13,65
"2022-02-01",45,29,13,34
"2022-03-01",46,31,13,41
"2022-04-01",41,33,15,35
"2022-05-01",45,31,14,25
"2022-06-01",41,33,16,29
"2022-07-01",45,35,20,30
"2022-08-01",43,35,23,26
"2022-09-01",43,29,14,26
