Categoria: Tutte le categorie

Mese,negro: (Italia)
2004-01,61
2004-02,54
2004-03,48
2004-04,52
2004-05,63
2004-06,65
2004-07,47
2004-08,71
2004-09,57
2004-10,57
2004-11,58
2004-12,65
2005-01,57
2005-02,50
2005-03,66
2005-04,63
2005-05,68
2005-06,60
2005-07,68
2005-08,75
2005-09,60
2005-10,76
2005-11,61
2005-12,76
2006-01,75
2006-02,56
2006-03,60
2006-04,63
2006-05,61
2006-06,60
2006-07,52
2006-08,63
2006-09,58
2006-10,48
2006-11,47
2006-12,63
2007-01,52
2007-02,48
2007-03,42
2007-04,50
2007-05,50
2007-06,54
2007-07,54
2007-08,60
2007-09,50
2007-10,49
2007-11,52
2007-12,58
2008-01,49
2008-02,46
2008-03,45
2008-04,53
2008-05,50
2008-06,50
2008-07,52
2008-08,57
2008-09,52
2008-10,53
2008-11,58
2008-12,50
2009-01,56
2009-02,50
2009-03,47
2009-04,51
2009-05,45
2009-06,52
2009-07,52
2009-08,54
2009-09,48
2009-10,45
2009-11,45
2009-12,48
2010-01,51
2010-02,44
2010-03,51
2010-04,51
2010-05,49
2010-06,56
2010-07,57
2010-08,52
2010-09,50
2010-10,41
2010-11,49
2010-12,56
2011-01,52
2011-02,51
2011-03,49
2011-04,47
2011-05,53
2011-06,52
2011-07,54
2011-08,59
2011-09,50
2011-10,48
2011-11,50
2011-12,54
2012-01,49
2012-02,47
2012-03,51
2012-04,47
2012-05,50
2012-06,54
2012-07,53
2012-08,57
2012-09,50
2012-10,45
2012-11,50
2012-12,53
2013-01,50
2013-02,50
2013-03,51
2013-04,50
2013-05,58
2013-06,55
2013-07,68
2013-08,58
2013-09,52
2013-10,52
2013-11,53
2013-12,62
2014-01,60
2014-02,61
2014-03,58
2014-04,58
2014-05,64
2014-06,64
2014-07,64
2014-08,83
2014-09,61
2014-10,60
2014-11,68
2014-12,68
2015-01,60
2015-02,60
2015-03,60
2015-04,66
2015-05,66
2015-06,65
2015-07,70
2015-08,78
2015-09,65
2015-10,60
2015-11,63
2015-12,70
2016-01,65
2016-02,69
2016-03,65
2016-04,62
2016-05,67
2016-06,65
2016-07,73
2016-08,74
2016-09,79
2016-10,73
2016-11,70
2016-12,74
2017-01,82
2017-02,75
2017-03,74
2017-04,71
2017-05,71
2017-06,74
2017-07,76
2017-08,80
2017-09,74
2017-10,90
2017-11,100
2017-12,92
2018-01,77
2018-02,75
2018-03,94
2018-04,83
2018-05,76
2018-06,77
2018-07,81
2018-08,79
2018-09,73
2018-10,66
2018-11,70
2018-12,81
2019-01,69
2019-02,62
2019-03,67
2019-04,73
2019-05,67
2019-06,68
2019-07,67
2019-08,71
2019-09,64
2019-10,66
2019-11,70
2019-12,75
2020-01,65
2020-02,58
2020-03,55
2020-04,61
2020-05,59
2020-06,71
2020-07,61
2020-08,63
2020-09,89
2020-10,55
2020-11,55
2020-12,65
2021-01,60
2021-02,67
2021-03,50
2021-04,56
2021-05,57
2021-06,58
2021-07,57
2021-08,58
2021-09,54
2021-10,57
2021-11,56
2021-12,61
2022-01,59
2022-02,52
2022-03,50
2022-04,56
2022-05,56
2022-06,60
2022-07,64
2022-08,65
2022-09,53
2022-10,57
2022-11,54
2022-12,68
2023-01,58
2023-02,50
2023-03,57
2023-04,58
2023-05,56
2023-06,57
2023-07,61
2023-08,74
2023-09,61
2023-10,62
2023-11,56
2023-12,66
2024-01,62
2024-02,65
2024-03,71
2024-04,67
2024-05,67
2024-06,66
2024-07,63
2024-08,68
2024-09,65
2024-10,65
2024-11,65
2024-12,80
2025-01,72
2025-02,69
2025-03,63
2025-04,69
2025-05,62
2025-06,68
2025-07,67
2025-08,74
2025-09,67
2025-10,62
2025-11,68
2025-12,77
2026-01,75
