"Time","negro"," immigrati","clandestini","clandestino"
"2007-12-01",41,65,7,8
"2008-01-01",35,44,5,9
"2008-02-01",34,41,8,12
"2008-03-01",31,41,7,14
"2008-04-01",37,50,9,15
"2008-05-01",36,55,17,10
"2008-06-01",35,42,14,10
"2008-07-01",38,35,9,11
"2008-08-01",39,28,9,11
"2008-09-01",38,41,8,8
"2008-10-01",38,48,9,9
"2008-11-01",40,38,8,10
"2008-12-01",35,36,7,8
"2009-01-01",40,41,9,9
"2009-02-01",36,50,18,12
"2009-03-01",34,40,10,9
"2009-04-01",35,38,11,9
"2009-05-01",32,48,17,11
"2009-06-01",36,32,10,10
"2009-07-01",37,33,14,12
"2009-08-01",39,37,17,24
"2009-09-01",34,41,11,12
"2009-10-01",32,36,8,9
"2009-11-01",32,37,7,14
"2009-12-01",34,30,6,16
"2010-01-01",37,61,9,14
"2010-02-01",31,48,7,18
"2010-03-01",36,46,8,17
"2010-04-01",37,38,7,11
"2010-05-01",35,35,6,11
"2010-06-01",40,43,6,9
"2010-07-01",41,20,5,10
"2010-08-01",38,30,6,11
"2010-09-01",36,28,6,12
"2010-10-01",29,29,6,9
"2010-11-01",35,37,5,10
"2010-12-01",40,29,6,10
"2011-01-01",37,32,5,9
"2011-02-01",36,36,10,10
"2011-03-01",35,63,15,12
"2011-04-01",33,81,18,15
"2011-05-01",37,39,9,13
"2011-06-01",38,27,6,13
"2011-07-01",38,26,4,11
"2011-08-01",41,25,6,12
"2011-09-01",36,28,5,12
"2011-10-01",34,26,5,11
"2011-11-01",36,24,5,11
"2011-12-01",39,23,4,10
"2012-01-01",35,27,6,11
"2012-02-01",34,24,4,10
"2012-03-01",37,27,5,9
"2012-04-01",34,22,5,10
"2012-05-01",36,24,5,11
"2012-06-01",39,20,5,9
"2012-07-01",38,34,7,10
"2012-08-01",41,24,6,10
"2012-09-01",36,33,7,11
"2012-10-01",32,24,5,11
"2012-11-01",36,19,4,9
"2012-12-01",37,15,3,9
"2013-01-01",36,19,4,11
"2013-02-01",36,22,30,15
"2013-03-01",36,17,4,9
"2013-04-01",36,19,4,9
"2013-05-01",39,23,7,10
"2013-06-01",40,20,4,11
"2013-07-01",43,19,4,10
"2013-08-01",40,21,7,10
"2013-09-01",43,20,5,7
"2013-10-01",40,74,20,11
"2013-11-01",38,29,6,8
"2013-12-01",42,27,5,9
"2014-01-01",42,24,5,9
"2014-02-01",40,25,4,8
"2014-03-01",43,22,5,8
"2014-04-01",42,28,7,10
"2014-05-01",45,35,34,14
"2014-06-01",47,34,8,9
"2014-07-01",43,30,7,9
"2014-08-01",51,36,9,11
"2014-09-01",45,43,8,8
"2014-10-01",43,40,7,8
"2014-11-01",47,43,7,8
"2014-12-01",46,29,5,7
"2015-01-01",44,27,6,7
"2015-02-01",46,30,6,9
"2015-03-01",43,31,6,10
"2015-04-01",47,58,10,11
"2015-05-01",44,54,14,10
"2015-06-01",47,82,13,13
"2015-07-01",50,46,8,13
"2015-08-01",57,60,12,13
"2015-09-01",45,79,9,11
"2015-10-01",45,37,5,8
"2015-11-01",46,38,5,8
"2015-12-01",50,25,4,8
"2016-01-01",55,42,6,9
"2016-02-01",51,40,4,9
"2016-03-01",44,39,4,9
"2016-04-01",49,41,6,10
"2016-05-01",50,42,8,10
"2016-06-01",49,45,23,12
"2016-07-01",50,41,5,12
"2016-08-01",54,46,6,11
"2016-09-01",47,43,6,9
"2016-10-01",51,56,5,9
"2016-11-01",51,53,32,9
"2016-12-01",53,38,39,9
"2017-01-01",62,59,6,8
"2017-02-01",53,41,6,10
"2017-03-01",52,40,5,10
"2017-04-01",50,36,5,12
"2017-05-01",50,44,5,11
"2017-06-01",57,42,6,11
"2017-07-01",52,57,6,15
"2017-08-01",54,56,5,16
"2017-09-01",53,40,4,12
"2017-10-01",65,36,4,11
"2017-11-01",70,31,5,10
"2017-12-01",65,26,3,12
"2018-01-01",56,36,4,12
"2018-02-01",54,52,43,13
"2018-03-01",64,38,33,12
"2018-04-01",64,25,4,13
"2018-05-01",53,25,3,14
"2018-06-01",56,100,13,22
"2018-07-01",58,45,6,21
"2018-08-01",56,49,7,25
"2018-09-01",52,40,6,15
"2018-10-01",48,36,5,16
"2018-11-01",49,28,4,18
"2018-12-01",55,25,3,13
"2019-01-01",49,43,6,16
"2019-02-01",46,33,5,16
"2019-03-01",48,27,4,14
"2019-04-01",48,24,4,15
"2019-05-01",44,28,18,15
"2019-06-01",49,31,5,19
"2019-07-01",49,32,5,17
"2019-08-01",50,30,5,19
"2019-09-01",46,30,4,13
"2019-10-01",47,26,5,14
"2019-11-01",50,22,4,22
"2019-12-01",50,31,3,19
"2020-01-01",49,26,13,16
"2020-02-01",40,26,5,15
"2020-03-01",39,26,7,23
"2020-04-01",44,32,7,17
"2020-05-01",44,59,10,16
"2020-06-01",49,32,6,19
"2020-07-01",44,32,8,23
"2020-08-01",46,35,9,25
"2020-09-01",63,19,8,17
"2020-10-01",41,17,4,16
"2020-11-01",39,19,4,12
"2020-12-01",45,14,3,13
"2021-01-01",41,15,3,10
"2021-02-01",45,15,3,11
"2021-03-01",38,15,3,11
"2021-04-01",43,16,3,13
"2021-05-01",40,21,3,13
"2021-06-01",41,15,3,16
"2021-07-01",45,12,3,17
"2021-08-01",43,13,4,17
"2021-09-01",40,11,3,12
"2021-10-01",42,12,4,12
"2021-11-01",42,16,3,12
"2021-12-01",44,13,3,11
"2022-01-01",41,16,3,11
"2022-02-01",37,14,3,12
"2022-03-01",38,17,2,13
